MSN,YYYYMM,Value,Column_Order,Description,Unit
TXRCBUS,198211,563.214,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198212,812.927,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198213,7146.587,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198301,1112.526,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198302,893.156,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198303,810.14,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198304,651.687,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198305,451.316,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198306,336.296,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198307,296.461,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198308,294.629,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198309,297.488,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198310,363.019,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198311,517.041,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198312,809.371,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198313,6831.823,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198401,1200.03,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198402,935.095,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198403,865.955,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198404,677.707,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198405,484.98,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198406,348.43,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198407,311.54,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198408,312.346,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198409,322.161,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198410,384.254,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198411,548.468,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198412,820.949,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198413,7210.899,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198501,1038.664,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198502,1105.351,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198503,809.187,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198504,599.29,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198505,402.673,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198506,339.028,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198507,315.682,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198508,315.269,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198509,324.773,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198510,414.072,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198511,537.897,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198512,950.331,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198513,7148.219,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198601,1079.456,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198602,944.488,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198603,826.884,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198604,563.26,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198605,429.552,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198606,324.679,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198607,306.932,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198608,306.457,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198609,313.691,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198610,399.736,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198611,559.769,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198612,852.497,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198613,6906.19,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198701,1012.932,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198702,925.746,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198703,818.442,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198704,603.744,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198705,410.234,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198706,326.908,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198707,314.036,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198708,297.592,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198709,321.32,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198710,452.286,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198711,582.158,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198712,858.959,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198713,6923.374,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198801,1149.208,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198802,1021.545,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198803,854.493,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198804,605.016,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198805,455.883,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198806,333.438,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198807,319.541,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198808,316.005,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198809,325.603,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198810,452.908,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198811,622.158,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198812,901.408,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198813,7356.785,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198901,1036.742,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198902,993.654,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198903,909.428,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198904,628.787,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198905,457.385,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198906,352.75,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198907,320.418,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198908,330.374,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198909,346.284,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198910,453.846,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198911,643.718,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198912,1094.604,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
TXRCBUS,198913,7566.942,"1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
