MSN,YYYYMM,Value,Column_Order,Description,Unit
GDPRXUS,196813,4564.7,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,196913,4707.9,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,197013,4717.7,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,197113,4873,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,197213,5128.8,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,197313,5418.2,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,197413,5390.2,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,197513,5379.5,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,197613,5669.3,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,197713,5930.6,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,197813,6260.4,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,197913,6459.2,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,198013,6443.4,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,198113,6610.6,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,198213,6484.3,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,198313,6784.7,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,198413,7277.2,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,198513,7585.7,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,198613,7852.1,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,198713,8123.9,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,198813,8465.4,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,198913,8777,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,199013,8945.4,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,199113,8938.9,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,199213,9256.7,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,199313,9510.8,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,199413,9894.7,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,199513,10163.7,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,199613,10549.5,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,199713,11022.9,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,199813,11513.4,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,199913,12071.4,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,200013,12565.2,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,200113,12684.4,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,200213,12909.7,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,200313,13270,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,200413,13774,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,200513,14235.6,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,200613,14615.2,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,200713,14876.8,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,200813,14833.6,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,200913,14417.9,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,201013,14779.4,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,201113,15052.4,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,201213,15470.7,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
GDPRXUS,201313,15759,"4","Gross Domestic Product (GDP)","Billion chained (2009) dollars"
OGTGRUS,194913,8.48,"5","Petroleum and Natural Gas Consumption per Real Dollar of GDP","Thousand Btu per chained (2009) dollar"
OGTGRUS,195013,8.84,"5","Petroleum and Natural Gas Consumption per Real Dollar of GDP","Thousand Btu per chained (2009) dollar"
OGTGRUS,195113,9.11,"5","Petroleum and Natural Gas Consumption per Real Dollar of GDP","Thousand Btu per chained (2009) dollar"
OGTGRUS,195213,9.17,"5","Petroleum and Natural Gas Consumption per Real Dollar of GDP","Thousand Btu per chained (2009) dollar"
OGTGRUS,195313,9.13,"5","Petroleum and Natural Gas Consumption per Real Dollar of GDP","Thousand Btu per chained (2009) dollar"
OGTGRUS,195413,9.46,"5","Petroleum and Natural Gas Consumption per Real Dollar of GDP","Thousand Btu per chained (2009) dollar"
OGTGRUS,195513,9.59,"5","Petroleum and Natural Gas Consumption per Real Dollar of GDP","Thousand Btu per chained (2009) dollar"
OGTGRUS,195613,9.86,"5","Petroleum and Natural Gas Consumption per Real Dollar of GDP","Thousand Btu per chained (2009) dollar"
OGTGRUS,195713,9.86,"5","Petroleum and Natural Gas Consumption per Real Dollar of GDP","Thousand Btu per chained (2009) dollar"
OGTGRUS,195813,10.31,"5","Petroleum and Natural Gas Consumption per Real Dollar of GDP","Thousand Btu per chained (2009) dollar"
OGTGRUS,195913,10.25,"5","Petroleum and Natural Gas Consumption per Real Dollar of GDP","Thousand Btu per chained (2009) dollar"
OGTGRUS,196013,10.4,"5","Petroleum and Natural Gas Consumption per Real Dollar of GDP","Thousand Btu per chained (2009) dollar"
OGTGRUS,196113,10.41,"5","Petroleum and Natural Gas Consumption per Real Dollar of GDP","Thousand Btu per chained (2009) dollar"
OGTGRUS,196213,10.29,"5","Petroleum and Natural Gas Consumption per Real Dollar of GDP","Thousand Btu per chained (2009) dollar"
OGTGRUS,196313,10.24,"5","Petroleum and Natural Gas Consumption per Real Dollar of GDP","Thousand Btu per chained (2009) dollar"
OGTGRUS,196413,10.08,"5","Petroleum and Natural Gas Consumption per Real Dollar of GDP","Thousand Btu per chained (2009) dollar"
OGTGRUS,196513,9.82,"5","Petroleum and Natural Gas Consumption per Real Dollar of GDP","Thousand Btu per chained (2009) dollar"
OGTGRUS,196613,9.77,"5","Petroleum and Natural Gas Consumption per Real Dollar of GDP","Thousand Btu per chained (2009) dollar"
OGTGRUS,196713,9.93,"5","Petroleum and Natural Gas Consumption per Real Dollar of GDP","Thousand Btu per chained (2009) dollar"
OGTGRUS,196813,10.12,"5","Petroleum and Natural Gas Consumption per Real Dollar of GDP","Thousand Btu per chained (2009) dollar"
OGTGRUS,196913,10.41,"5","Petroleum and Natural Gas Consumption per Real Dollar of GDP","Thousand Btu per chained (2009) dollar"
OGTGRUS,197013,10.88,"5","Petroleum and Natural Gas Consumption per Real Dollar of GDP","Thousand Btu per chained (2009) dollar"
OGTGRUS,197113,10.88,"5","Petroleum and Natural Gas Consumption per Real Dollar of GDP","Thousand Btu per chained (2009) dollar"
OGTGRUS,197213,10.85,"5","Petroleum and Natural Gas Consumption per Real Dollar of GDP","Thousand Btu per chained (2009) dollar"
